,ITEMID
0,50861
1,769
2,220644
3,50862
4,772
5,1521
6,227456
7,3727
8,50835
9,51025
10,51046
11,51069
12,50863
13,773
14,225612
15,3728
16,50868
17,227073
18,3732
19,50878
20,770
21,220587
22,51146
23,51442
24,51345
25,51112
26,51387
27,51367
28,50882
29,227443
30,51076
31,50803
32,51028
33,50883
34,803
35,225651
36,51012
37,50838
38,51049
39,50885
40,1538
41,848
42,225690
43,50884
44,3765
45,51464
46,51465
47,3333
48,50886
49,51006
50,781
51,1162
52,225624
53,3737
54,50808
55,786
56,1522
57,3746
58,51066
59,51029
60,50893
61,51077
62,225625
63,816
64,225667
65,3766
66,50902
67,788
68,1523
69,3747
70,4193
71,50839
72,51030
73,51013
74,51050
75,220602
76,51062
77,51078
78,50806
79,226536
80,789
81,1524
82,220603
83,3748
84,50840
85,51031
86,50904
87,50905
88,50906
89,51051
90,50907
91,50912
92,791
93,1525
94,220615
95,3750
96,51067
97,50841
98,51032
99,51052
100,51081
101,51082
102,51106
103,51080
104,3754
105,51474
106,51444
107,51347
108,51419
109,51114
110,51368
111,51221
112,813
113,50810
114,3761
115,220545
116,51222
117,814
118,220228
119,50811
120,50852
121,50855
122,50813
123,50954
124,51054
125,818
126,225668
127,1531
128,51244
129,51116
130,51446
131,51427
132,51375
133,51133
134,51143
135,51343
136,51110
137,51440
138,51385
139,51365
140,51245
141,50960
142,821
143,1532
144,220635
145,51248
146,51249
147,51250
148,51254
149,51355
150,51256
151,50818
152,3835
153,3836
154,3784
155,778
156,220235
157,4201
158,779
159,490
160,51275
161,825
162,1533
163,227466
164,507
165,50970
166,51265
167,828
168,227457
169,3789
170,505
171,50819
172,224700
173,50971
174,829
175,1535
176,3792
177,227442
178,50822
179,227464
180,51237
181,51274
182,815
183,824
184,1530
185,1286
186,227467
187,227465
188,8466
189,3593
190,584
191,8530
192,8467
193,585
194,51279
195,833
196,51493
197,3799
198,4197
199,51127
200,51362
201,51278
202,51383
203,51438
204,51457
205,50983
206,837
207,1536
208,3803
209,220645
210,50824
211,226534
212,51002
213,851
214,51003
215,227429
216,40069
217,40094
218,40055
219,226559
220,51301
221,861
222,1127
223,1542
224,220546
225,51516
226,4200
227,51300
228,3348
229,115
230,8377
231,8368
232,220051
233,225310
234,8555
235,8441
236,220180
237,8502
238,8440
239,8503
240,8504
241,8507
242,8506
243,224643
244,3420
245,223835
246,3422
247,189
248,727
249,184
250,220739
251,454
252,223901
253,198
254,723
255,223900
256,50931
257,807
258,811
259,1529
260,50809
261,51478
262,3745
263,225664
264,220621
265,226537
266,211
267,220045
268,226707
269,226730
270,1394
271,52
272,220052
273,225312
274,224
275,6702
276,224322
277,456
278,220181
279,3312
280,3314
281,3316
282,3322
283,3320
284,834
285,50817
286,8498
287,220227
288,646
289,220277
290,50820
291,51491
292,3839
293,1673
294,50831
295,51094
296,780
297,1126
298,223830
299,4753
300,4202
301,860
302,220274
303,618
304,220210
305,3603
306,224689
307,614
308,651
309,224422
310,615
311,224690
312,51
313,220050
314,225309
315,6701
316,455
317,220179
318,3313
319,3315
320,442
321,3317
322,3323
323,3321
324,224167
325,227243
326,3655
327,677
328,676
329,223762
330,3654
331,678
332,223761
333,679
334,763
335,224639
336,226512
337,3580
338,3693
339,3581
340,226531
341,3582
342,50804
343,777
344,225698
345,3810
346,3808
347,857
348,3809
349,4199
350,223679
351,226062
352,3773
353,3830
354,3832
355,8480
356,706
357,43175
358,40065
359,40061
360,40715
361,226627
362,40473
363,581
364,3723
365,3583
366,3692
367,580
368,733
369,225124
370,4183
371,226846
372,220045
373,220210
374,220277
375,51221
376,50971
377,50912
378,51006
379,50902
380,224641
381,50983
382,50882
383,223770
384,220047
385,220046
386,223769
387,220739
388,50868
389,223900
390,224161
391,224162
392,223901
393,224168
394,51265
395,50931
396,223761
397,220181
398,220180
399,220179
400,226253
401,51222
402,51301
403,51249
404,51248
405,51279
406,51250
407,51277
408,223752
409,223751
410,50960
411,51237
412,51274
413,50893
414,50970
415,51275
416,227688
417,226512
418,50820
419,50804
420,50802
421,50821
422,50818
423,50813
424,226531
425,227367
426,228096
427,226137
428,211
429,225103
430,212
431,161
432,646
433,742
434,618
435,432
436,184
437,723
438,454
439,617
440,479
441,198
442,159
443,674
444,599
445,428
446,678
447,478
448,677
449,593
450,425
451,227368
452,226138
453,455
454,8441
455,456
456,707
457,644
458,27
459,225092
460,220545
461,210
462,80
463,220602
464,227442
465,294
466,704
467,31
468,220645
469,220615
470,225624
471,227443
472,8400
473,225094
474,220228
475,227073
476,227457
477,128
478,550
479,926
480,935
481,919
482,930
483,916
484,762
485,917
486,920
487,924
488,927
489,925
490,69
491,50861
492,82
493,85
494,50878
495,84
496,88
497,86
498,83
499,220621
500,324
501,87
502,220546
503,50885
504,1337
505,50863
506,1125
507,54
508,228099
509,50910
510,220635
511,225625
512,223834
513,225677
514,32
515,156
516,637
517,225118
518,8381
519,228305
520,223758
521,50808
522,154
523,225106
524,1046
525,227467
526,227465
527,225087
528,706
529,50911
530,50822
531,227466
532,225113
533,547
534,8480
535,77
536,225126
537,225122
538,228100
539,549
540,8456
541,51491
542,228236
543,225110
544,51498
545,225124
546,225074
547,50809
548,223835
549,51244
550,51254
551,51146
552,51200
553,51256
554,467
555,50862
556,829
557,1622
558,225187
559,1623
560,297
561,225078
562,8401
563,811
564,50810
565,50811
566,225185
567,226179
568,50800
569,663
570,225076
571,226180
572,813
573,325
574,225067
575,525
576,225668
577,50824
578,621
579,581
580,837
581,220339
582,224687
583,220293
584,224697
585,223830
586,223873
587,220292
588,223876
589,224685
590,224695
591,224828
592,225698
593,220235
594,220224
595,8549
596,5815
597,5820
598,8554
599,5819
600,223874
