LEVEL2,LEVEL1,ALTERNATIVE,STATUS,STATUS NOTE,ITEMID,MIMIC LABEL,UNITNAME,LINKSTO,ICU COUNT,CATEGORY,CONCEPTID,FLUID,LOINC_CODE,DBSOURCE,,PARAM_TYPE
Alanine aminotransferase,Alanine aminotransferase,ALT,verify,,50861,ALANINE AMINOTRANSFERASE (ALT),,labevents,219475,CHEMISTRY,,BLOOD,6/1/1742,,,
Alanine aminotransferase,Alanine aminotransferase,ALT,verify,,769,ALT,,chartevents,41594,Enzymes,,,,carevue,,
Alanine aminotransferase,Alanine aminotransferase,ALT,verify,,220644,ALT,None,chartevents,37625,Labs,,,,metavision,,Numeric
Albumin,Albumin,,verify,,50862,ALBUMIN,,labevents,146697,CHEMISTRY,,BLOOD,7/1/1751,,,
Albumin,Albumin,,verify,,772,Albumin (>3.2),,chartevents,31022,Chemistry,,,,carevue,,
Albumin,Albumin,,verify,,1521,Albumin,,chartevents,24454,Chemistry,,,,carevue,,
Albumin,Albumin,,verify,,227456,Albumin,None,chartevents,22945,Labs,,,,metavision,,Numeric with tag
Albumin,Albumin,,verify,,3727,Albumin  (3.9-4.8),,chartevents,546,Chemistry,,,,carevue,,
Albumin,Albumin (ascites),,verify,,50835,"ALBUMIN, ASCITES",,labevents,1592,CHEMISTRY,,ASCITES,1/1/1749,,,
Albumin,Albumin (body fluid),,verify,,51025,"ALBUMIN, BODY FLUID",,labevents,422,CHEMISTRY,,OTHER BODY FLUID,5/1/1747,,,
Albumin,Albumin (pleural),,verify,,51046,"ALBUMIN, PLEURAL",,labevents,1175,CHEMISTRY,,PLEURAL,3/1/1748,,,
Albumin,Albumin (urine),,verify,,51069,"ALBUMIN, URINE",,labevents,2381,CHEMISTRY,,URINE,1/1/1754,,,
Alkaline phosphate,Alkaline phosphate,ALP,verify,,50863,ALKALINE PHOSPHATASE,,labevents,207860,CHEMISTRY,,BLOOD,6/1/6768,,,
Alkaline phosphate,Alkaline phosphate,ALP,verify,,773,Alk. Phosphate,,chartevents,40637,Enzymes,,,,carevue,,
Alkaline phosphate,Alkaline phosphate,ALP,verify,,225612,Alkaline Phosphate,None,chartevents,36836,Labs,,,,metavision,,Numeric
Alkaline phosphate,Alkaline phosphate,ALP,verify,,3728,Alkaline Phosphatase,,chartevents,1651,Chemistry,,,,carevue,,
Anion gap,Anion gap,,verify,,50868,ANION GAP,,labevents,769895,CHEMISTRY,,BLOOD,1863-0,,,
Anion gap,Anion gap,,verify,,227073,Anion gap,None,chartevents,150220,Labs,,,,metavision,,Numeric
Anion gap,Anion gap,,verify,,3732,Anion Gap   (8-20),,chartevents,15517,Chemistry,,,,carevue,,
Asparate aminotransferase,Asparate aminotransferase,AST,verify,,50878,ASPARATE AMINOTRANSFERASE (AST),,labevents,219465,CHEMISTRY,,BLOOD,8/1/1920,,,
Asparate aminotransferase,Asparate aminotransferase,AST,verify,,770,AST,,chartevents,41447,Enzymes,,,,carevue,,
Asparate aminotransferase,Asparate aminotransferase,AST,verify,,220587,AST,None,chartevents,37598,Labs,,,,metavision,,Numeric
Basophils,Basophils,,verify,,51146,BASOPHILS,,labevents,172142,HEMATOLOGY,,BLOOD,704-7,,,
Basophils,Basophils,,verify,,51442,BASOPHILS,,labevents,137,HEMATOLOGY,,PLEURAL,35070-2,,,
Basophils,Basophils,,verify,,51345,BASOPHILS,,labevents,119,HEMATOLOGY,,CEREBROSPINAL FLUID (CSF),30374-3,,,
Basophils,Basophils,,verify,,51112,BASOPHILS,,labevents,82,HEMATOLOGY,,ASCITES,35069-4,,,
Basophils,Basophils,,verify,,51387,BASOPHILS,,labevents,75,HEMATOLOGY,,OTHER BODY FLUID,28543-7,,,
Basophils,Basophils,,verify,,51367,BASOPHILS,,labevents,10,HEMATOLOGY,,JOINT FLUID,17833-5,,,
Bicarbonate,Bicarbonate,HCO3,verify,,50882,BICARBONATE,,labevents,780733,CHEMISTRY,,BLOOD,8/1/1963,,,
Bicarbonate,Bicarbonate (serum),HCO3 (serum),verify,,227443,HCO3 (serum),None,chartevents,152671,Labs,,,,metavision,,Numeric with tag
Bicarbonate,Bicarbonate (urine),HCO3 (urine),verify,,51076,"BICARBONATE, URINE",,labevents,1000,CHEMISTRY,,URINE,6/1/1964,,,
Bicarbonate,Bicarbonate (whole blood),HCO3 (whole blood),verify,,50803,"CALCULATED BICARBONATE, WHOLE BLOOD",,labevents,9246,BLOOD GAS,,BLOOD,6/1/1959,,,
Bilirubin,Bilirubin (blody fluid),,verify,,51028,"BILIRUBIN, TOTAL, BODY FLUID",,labevents,355,CHEMISTRY,,OTHER BODY FLUID,5/1/1974,,,
Bilirubin,Bilirubin (conjugated),Direct bilirubin,verify,,50883,"BILIRUBIN, DIRECT",,labevents,45205,CHEMISTRY,,BLOOD,7/1/1968,,,
Bilirubin,Bilirubin (conjugated),Direct bilirubin,verify,,803,Direct Bili (0-0.3),,chartevents,22646,Chemistry,,,,carevue,,
Bilirubin,Bilirubin (conjugated),Direct bilirubin,verify,,225651,Direct Bilirubin,None,chartevents,3341,Labs,,,,metavision,,Numeric
Bilirubin,Bilirubin (CSF),,verify,,51012,"BILIRUBIN, TOTAL, CSF",,labevents,3,CHEMISTRY,,CEREBROSPINAL FLUID (CSF),7/1/1973,,,
Bilirubin,"Bilirubin (total, ascites)",,verify,,50838,"BILIRUBIN, TOTAL, ASCITES",,labevents,784,CHEMISTRY,,ASCITES,14422-0,,,
Bilirubin,"Bilirubin (total, pleural)",,verify,,51049,"BILIRUBIN, TOTAL, PLEURAL",,labevents,84,CHEMISTRY,,PLEURAL,14421-2,,,
Bilirubin,Bilirubin (total),Total bilirubin,verify,,50885,"BILIRUBIN, TOTAL",,labevents,238277,CHEMISTRY,,BLOOD,2/1/1975,,,
Bilirubin,Bilirubin (total),Total bilirubin,verify,,1538,Total Bili,,chartevents,51334,Chemistry,,,,carevue,,
Bilirubin,Bilirubin (total),Total bilirubin,verify,,848,Total Bili (0-1.5),,chartevents,40239,Chemistry,,,,carevue,,
Bilirubin,Bilirubin (total),Total bilirubin,verify,,225690,Total Bilirubin,None,chartevents,37961,Labs,,,,metavision,,Numeric
Bilirubin,Bilirubin (unconjugated),,verify,,50884,"BILIRUBIN, INDIRECT",,labevents,44385,CHEMISTRY,,BLOOD,1/1/1971,,,
Bilirubin,Bilirubin (unconjugated),,verify,,3765,Indirect Bili(0-1.0),,chartevents,18859,Chemistry,,,,carevue,,
Bilirubin,BIlirubin (urine dip),,verify,,51464,BILIRUBIN,,labevents,99679,HEMATOLOGY,,URINE,3/1/5770,,,
Bilirubin,Bilirubin (urine),,verify,,51465,BILIRUBIN CRYSTALS,,labevents,83,HEMATOLOGY,,URINE,1/1/5771,,,
Blood culture,Blood culture,,verify,,3333,Blood Cultures,,chartevents,5061,,,,,carevue,,
Blood culture,Blood culture,,verify,,50886,BLOOD CULTURE HOLD,,labevents,188,CHEMISTRY,,BLOOD,,,,
Blood urea nitrogen,Blood urea nitrogen,BUN,verify,,51006,UREA NITROGEN,,labevents,791925,CHEMISTRY,,BLOOD,3094-0,,,
Blood urea nitrogen,Blood urea nitrogen,BUN,verify,,781,BUN (6-20),,chartevents,195714,Chemistry,,,,carevue,,
Blood urea nitrogen,Blood urea nitrogen,BUN,verify,,1162,BUN,,chartevents,152539,,,,,carevue,,
Blood urea nitrogen,Blood urea nitrogen,BUN,verify,,225624,BUN,None,chartevents,152475,Labs,,,,metavision,,Numeric
Blood urea nitrogen,Blood urea nitrogen,BUN,verify,,3737,BUN    (6-20),,chartevents,2139,Chemistry,,,,carevue,,
Calcium,Calcium,,verify,,50808,FREE CALCIUM,,labevents,249111,BLOOD GAS,,BLOOD,3/1/1994,,,
Calcium,Calcium,,verify,,786,Calcium (8.4-10.2),,chartevents,158078,Chemistry,,,,carevue,,
Calcium,Calcium,,verify,,1522,Calcium,,chartevents,130402,Chemistry,,,,carevue,,
Calcium,Calcium,,verify,,3746,Calcium   (8.8-10.8),,chartevents,1981,Chemistry,,,,carevue,,
Calcium,Calcium,,verify,,51066,24 HR CALCIUM,,labevents,91,CHEMISTRY,,URINE,2/1/6874,,,
Calcium,Calcium (body fluid),,verify,,51029,"CALCIUM, BODY FLUID",,labevents,9,CHEMISTRY,,OTHER BODY FLUID,15155-5,,,
Calcium,Calcium (total),Total Calcium,verify,,50893,"CALCIUM, TOTAL",,labevents,591999,CHEMISTRY,,BLOOD,8/1/2000,,,
Calcium,Calcium (urine),,verify,,51077,"CALCIUM, URINE",,labevents,887,CHEMISTRY,,URINE,2004-0,,,
Calcium,Calcium non-ionized,,verify,,225625,Calcium non-ionized,None,chartevents,135036,Labs,,,,metavision,,Numeric
Calcium ionized,Calcium ionized,,verify,,816,Ionized Calcium,,chartevents,148637,Chemistry,,,,carevue,,
Calcium ionized,Calcium ionized,,verify,,225667,Ionized Calcium,None,chartevents,80126,Labs,,,,metavision,,Numeric
Calcium Ionized,Calcium Ionized,,verify,,3766,Ion Calcium,,chartevents,95,ABG's,,,,carevue,,
Chloride,Chloride,,verify,,50902,CHLORIDE,,labevents,795568,CHEMISTRY,,BLOOD,2075-0,,,
Chloride,Chloride,,verify,,788,Chloride (100-112),,chartevents,194344,Chemistry,,,,carevue,,
Chloride,Chloride,,verify,,1523,Chloride,,chartevents,151836,Chemistry,,,,carevue,,
